gene.id,log2_diff,p.value,adj.p.value
AP3B1,-0.24787596860205952,0.16613782728147633,0.26261770793997746
FAF2,-0.31488107486503836,0.1310573463515325,0.2194384559709483
HDGR2,-0.4712988504467077,0.056915762249352804,0.11745692002261571
E9Q5C9,0.08984597522382032,0.721672140844634,0.7955362327153159
DCUP,-0.7116664502720624,0.06540648347379507,0.1304789737389132
Q3U8Y1,-0.7443716537420499,0.019810581409770118,0.055949799374864585
CHMP7,0.047513611262981925,0.9044791653960428,0.9349804083276864
DCAF8,1.2642970092517132,0.0025990744963594044,0.013865209997312217
A0A0A6YVU8,0.04115800854165741,0.7554357871058055,0.8227416265691815
IL1RA,-29.31501357454256,7.46015574657323e-10,7.250907475632761e-8
COX6C,-0.3258801682870853,0.01256925370136448,0.04156719999994809
NPC2,0.006553437925184369,0.9933905586209324,0.995465254425213
SNRK,0.7175047066455704,0.04109131644334641,0.09246126257861968
HMGN3,0.6546334344612745,0.0028315353805297605,0.014805917062226151
WDR6,-0.47930848227432676,0.10341353134563465,0.18234642584617436
RM32,-0.8185282061438137,0.016992066513392856,0.05079773822645951
D3Z3S1,-0.34861251207604127,0.1858853485966117,0.28505479312832205
CS1A,-24.02392193877433,1.3556321262177198e-7,4.0925712295284945e-6
TRAF2,-23.872264187316556,1.7527570355821104e-7,5.212490139399038e-6
NOC4L,-0.6338461617447706,0.11267586974059092,0.19513834894230978
VPS28,-0.09180306726772258,0.7227416914376783,0.7964949226712247
IFI5B,0.6956832114649423,0.18926250335211744,0.28896976086520615
UBA3,-0.2940709582134744,0.013521240712359769,0.043593967830706855
XRN2,-0.025074984610288453,0.7519579803906118,0.820070732708214
MYH9,0.3407993876136999,0.0062831220694800054,0.026143444451374197
PHS2,-0.11611561941475657,0.2750444661062745,0.38779376769010626
DHC24,1.374837601957065,2.550225678928722e-4,0.0026260075789485676
DECR,-0.3785440753139824,2.6103872843599756e-4,0.0026672803405575645
SERA,0.18707092838251071,0.024987441729064454,0.06512423498385994
SPG20,1.6455862122372338,7.209522456669197e-4,0.00574598939796535
CLCB,0.05191588978901862,0.881789233760162,0.9184344214673931
Q9CPX4,1.836702043704335,0.005273264252991167,0.023161317980797166
NDUA6,0.23749670605858952,0.35363269154705174,0.47001777036156417
1433T,0.3799540250445119,0.01745843315926681,0.05186123753375305
MP2K4,-0.02335461334187272,0.8892526625212861,0.9237934984742766
E9Q317,-0.13046631649660867,0.585667347223283,0.6840223853120699
Q3UJB0,0.059865933676043426,0.6780434460850069,0.7620692327792942
CD81,-0.6070579466095971,0.06865762023223139,0.1355800875249961
D3YVZ9,-0.20201722777118647,0.5720734234012043,0.6727857206887995
PFD5,-0.1374715733753078,0.5645357869433285,0.6661756325049346
RFA3,-0.41742662393314944,0.10983784416137504,0.19130411231777952
ILK,0.46904306865185674,0.0015915531804286652,0.009863669399701758
COMT,-0.29172696795195563,0.31461639807425995,0.43044701100612437
GPKOW,-0.3204675477098462,0.08133356906659663,0.15324350219401223
MK01,0.06587766418587648,0.7886432640855096,0.8484728421654307
Q99N15,0.06828469381579794,0.5529128607602871,0.6557612351576619
HMGA1,2.3371298431128515,0.0029367571521385478,0.015100615808093049
FOSL2,-0.5767923016009107,0.21001414155928014,0.31391836238324505
RAD21,1.0838357656646238,7.287864159533761e-5,0.001147910619594547
RM38,-0.038910237816420334,0.8642895775304008,0.9078002020186208
PRDX3,0.34385716565283175,0.018101177542908825,0.05295067982161651
RM10,-0.6093634511337314,0.05156664672708637,0.10988935144782844
IMDH1,-1.0063992251823564,0.0023462989128894174,0.012914366253956254
V9GX65,-0.17315479760845776,0.4228278780427792,0.5383287840257109
G6PE,-2.6001601632133244,0.017972335156727838,0.05277800707410497
PABP2,-0.18874434619756286,0.3341469659123383,0.4512286205220834
F7AVU1,-0.11228212619328914,0.5827865672965734,0.6816567275247565
B7FAU9,0.0990076451580677,0.026329974459559265,0.06738917676386877
G5E896,-0.1257110539705586,0.34216469609328626,0.45940913542174727
SH3K1,-0.01854527547839524,0.9682967773647186,0.9808496842395537
RIR1,0.2190148681447468,0.053028358605590825,0.11180847039326954
EF1B,0.5897576584413855,8.117478329845298e-4,0.006212008003531105
DYR,0.25592660172948456,0.09407413640431757,0.16932494741246862
GPT11,-0.11220963567192399,0.5055183875413884,0.6136540890208453
Q8C3V4,1.8281402004840857,5.886198957053297e-5,9.732988731891033e-4
HECD3,0.6910863823050484,0.04150402021647383,0.09312698229878841
CYFP1,0.294944558785982,0.12516585721903262,0.21237763749146282
COMDA,0.3732223859074608,0.3494761157030429,0.4665652511319262
DCTN3,0.3007809921311768,0.02307917277336932,0.06164242862056082
SYVC,-0.37837767097526154,0.017666062296523413,0.05230256928056895
GNAQ,0.3427155649776985,0.363145533332602,0.4794849158790623
PFKAM,-0.974632171037193,0.0040605003243239885,0.019240301774591077
CAND1,0.5429549222337045,0.021040602258422532,0.057905248618655925
XPP3,-0.15270641827956766,0.4028109149066534,0.5178069341622624
DX39B,-0.32637573030693545,0.024679812895405422,0.06461069961203245
LCAP,-0.13591593946256708,0.36724501294270745,0.48251611492802143
RBM26,-0.08799448529867959,0.44711554544812054,0.5606530675301322
GSTA4,-2.1455883296928384,1.3481890507663109e-6,3.2759349800632615e-5
TTC27,-0.8629014765986867,0.07084860331083272,0.13866957688112178
MK67I,0.06582224730082586,0.8463829609656162,0.8935712909879374
RBM27,0.059593511189444115,0.6382460423201821,0.7285621537226943
RPAB3,0.30998406989476024,0.556470363759684,0.6588040402799586
PUR8,-0.7498200586355814,0.01414253025070578,0.04488769514055396
