,PlaceboBZ1,PlaceboBZ2,PlaceboIZ1,PlaceboIZ2,Treated BZ1,Treated BZ2,Treated IZ1,Treated IZ2
miR-451a,8.718857399,8.612788122,13.72823382,15.89621991,9.380777848,8.449692641,15.08967941,11.66037733
miR-144-3p,6.717528379,6.253834061,12.07711926,13.1385112,7.424795064,7.141759334,12.19116007,7.992729209
miR-223-3p,6.266991644,5.476504467,9.314062188,11.27718979,7.742181503,5.687791202,10.44207213,10.85496617
miR-144-5p,2.822951912,2.707801132,5.817452268,8.107486763,3.268591818,2.54184702,7.980002366,4.25394661
miR-223-5p,0.99270752,0.145392633,4.140465658,5.541191717,2.121648303,1.31846955,4.502110997,5.037831697
miR-16-1-3p,1.166217044,1.779042369,3.358095271,5.698514849,1.433120563,1.035696923,4.55031284,3.307268869
miR-19a-3p,6.88208823,6.609297106,8.945970951,10.57079675,8.07996992,4.918310047,9.934417116,8.933149545
miR-18a-5p,5.398168103,4.877994768,7.280207931,8.813535433,6.210422555,5.049797137,7.973388191,8.10121002
miR-7-5p,7.032589819,6.945074766,9.475492646,11.56186986,7.652654829,6.208742767,10.04736571,7.966492817
miR-142-5p,7.520156971,6.817005292,10.8012797,11.42193142,7.917986699,7.184211914,10.59280253,8.655107301
miR-146b-5p,6.233251288,5.537981891,8.269698678,8.847538307,6.74257045,4.949734209,7.764509995,8.529312313
miR-34c-5p,1.321081358,0.911767285,3.736585848,4.47110699,2.325545179,1.441467061,4.17321897,3.307268869
miR-142-3p,6.290617751,6.041002187,8.451820411,9.329918733,7.187148926,5.314061054,8.868138397,7.894102912
miR-425-5p,6.073546522,6.155268136,8.126191738,9.567310277,6.882428813,6.255596404,9.075877658,8.946634056
miR-92b-3p,4.396643112,3.836572763,6.858814177,7.429628446,4.428184127,3.81102704,6.473657583,5.802233588
miR-222-3p,3.340247577,4.020121231,5.233808981,6.611435975,4.021788844,3.262519992,5.491458006,6.40723792
miR-93-3p,0.795440643,2.072894695,3.268833755,4.882388959,1.599614417,0.870383374,4.142102495,3.856903066
miR-221-3p,8.404923497,7.598218763,9.911672726,10.53472718,8.914855481,7.093337296,9.751297332,10.35587322
miR-449a,2.097170242,1.40961676,3.66841774,4.677672618,2.121648303,1.757806029,4.010456918,2.77372787
miR-708-5p,3.542709003,2.869588837,5.694305515,5.16331253,2.585807639,1.849514761,4.789985149,5.494765729
miR-15b-5p,8.232672746,7.751418252,10.05622342,11.25231006,8.672441922,7.664763565,11.26001858,10.35923823
miR-19b-3p,9.664365738,9.664113723,10.93399752,12.34604997,10.81535215,7.896092251,11.97573526,11.31532838
miR-17-5p,10.74207676,10.41988474,12.18436208,13.68117827,11.3352965,10.59884612,12.9979788,12.60140126
miR-21-5p,14.68653903,14.02584162,16.67333623,16.78207123,15.07839784,14.08933721,16.05665507,15.52881623
miR-212-3p,3.303558961,3.325124194,4.455657483,5.414936522,3.268591818,3.158775239,5.096306758,5.037831697
miR-29b-3p,5.41546424,4.915541108,7.934530027,7.913920322,6.025273597,4.489926559,7.133968251,7.175391846
miR-148a-5p,4.905151581,4.462025691,6.933324049,7.151390565,5.090888859,4.896973786,6.811907832,5.841259896
miR-20a-5p,11.38341653,11.23529121,12.71461023,14.41816587,11.88489844,11.054336,13.56438235,12.99771611
miR-27a-5p,5.737693508,5.215611686,7.366102156,7.703861817,6.164655147,4.853330638,6.850919608,6.870427656
miR-193a-3p,1.321081358,0.911767285,4.089242251,4.372642532,1.884115662,1.441467061,3.570698136,4.13334547
miR-16-5p,11.27285017,11.01895073,13.06140601,14.61759091,11.66215263,11.04208757,14.19339703,12.72490393
miR-25-3p,10.21719911,9.943387728,11.57368297,13.35766195,10.53289094,10.07009561,12.61929471,11.79443777
miR-132-3p,5.995188292,5.561857619,6.361617676,7.497396854,7.187148926,5.730633971,7.044246416,7.865992006
miR-335-3p,4.708696629,5.20048152,5.801627484,7.242496166,4.360199806,4.475604978,6.570329957,4.740381386
miR-210-3p,5.152128598,5.303204573,5.908920295,7.260964518,6.521790213,5.578119253,7.023052754,8.825355034
miR-106a-5p,7.218977533,6.339203183,8.605554274,9.282119921,7.547046099,6.600610106,8.352138038,8.570540109
