id,p.value,logp.value,log2fc
hsa-miR-92a-1-5p,0.012,1.920818754,-1.6
hsa-miR-144-3p,0.02,1.698970004,-1.2
hsa-miR-449a,0.04,1.397940009,-1
hsa-miR-30c-1-3p,0.065513286,1.183670617,-0.8
hsa-miR-15b-3p,0.60455165,0.218566589,-0.253820115
hsa-miR-17-3p,0.650243378,0.186924062,-0.235579987
hsa-miR-1296-5p,0.261289808,0.58287753,-0.23147021
hsa-miR-758-3p,0.334673805,0.475378279,-0.224711317
hsa-miR-221-5p,0.463756898,0.333709618,-0.223878067
hsa-miR-7-5p,0.41274665,0.384316443,-0.223846606
hsa-miR-92b-3p,0.149818172,0.824435506,-0.219020917
hsa-miR-362-3p,0.036302374,1.440064973,-0.216772743
hsa-miR-142-5p,0.281172168,0.55102767,-0.207365503
hsa-miR-335-3p,0.534297202,0.2722171,-0.205710357
hsa-miR-16-1-3p,0.695280444,0.157839986,-0.204885783
hsa-miR-450b-5p,0.223051917,0.65159404,-0.201444261
hsa-miR-590-3p,0.342656444,0.465141096,-0.193813671
hsa-miR-212-5p,0.096933967,1.013524013,-0.190439583
hsa-miR-144-5p,0.73628114,0.132956324,-0.186780847
hsa-miR-532-3p,0.483884656,0.315258149,-0.176836816
hsa-miR-1306-5p,0.205778538,0.686599923,-0.164870374
hsa-let-7a-3p,0.428346543,0.368204734,-0.155724508
hsa-miR-148a-5p,0.286784848,0.542443798,-0.154631722
hsa-miR-29b-3p,0.000902473,3.044565782,-0.147382624
hsa-miR-451a,0.552091522,0.257988922,-0.147246599
hsa-miR-376c-3p,0.484932183,0.314318993,-0.144773084
hsa-miR-193a-3p,0.352082845,0.453355135,-0.135363173
hsa-miR-27a-5p,0.057554402,1.239921454,-0.135253825
hsa-miR-34c-5p,0.587481264,0.231005979,-0.133844383
hsa-miR-190a-5p,0.643499395,0.191451857,-0.115923181
hsa-miR-182-5p,0.316356774,0.499822862,-0.115551685
hsa-miR-363-3p,0.039168206,1.40706632,-0.113359316
hsa-let-7e-3p,0.131103413,0.882386002,-0.109762666
hsa-miR-15a-5p,0.580843769,0.235940665,-0.106936012
hsa-miR-369-3p,0.392233392,0.406455436,-0.106763324
hsa-miR-504-5p,0.483984223,0.315168795,-0.098246871
hsa-miR-370-3p,0.50966292,0.292716962,-0.098015973
hsa-miR-1249-3p,0.181401672,0.741358714,-0.097038774
hsa-miR-214-5p,0.415120984,0.381825313,-0.092221356
hsa-miR-424-5p,0.299908172,0.5230117,-0.091450461
hsa-miR-152-5p,0.511408792,0.29123181,-0.091033434
hsa-miR-132-5p,0.303339031,0.518071705,-0.090914571
hsa-miR-542-3p,0.287099737,0.541967205,-0.090664145
hsa-miR-9-5p,0.088614705,1.052494204,-0.085986674
hsa-miR-142-3p,0.518277675,0.285437498,-0.085181367
hsa-miR-21-5p,0.073963932,1.130980009,-0.082978315
hsa-miR-30d-3p,0.493173084,0.307000634,-0.081451685
hsa-miR-106a-5p,0.307547618,0.512087632,-0.080007912
hsa-miR-214-3p,0.332806936,0.477807631,-0.07835022
hsa-miR-708-5p,0.582805177,0.234476599,-0.078200789
hsa-miR-874-3p,0.618482946,0.208672271,-0.078082074
hsa-miR-340-5p,0.091791161,1.037199137,-0.075618619
hsa-miR-339-5p,0.776799683,0.10969096,-0.075399958
hsa-miR-769-5p,0.537321431,0.269765837,-0.075369922
hsa-miR-450a-5p,0.362004672,0.441285824,-0.074148755
hsa-miR-454-3p,0.713151622,0.146818126,-0.072580838
hsa-miR-126-5p,0.21165564,0.674370154,-0.071654528
hsa-miR-146b-5p,0.48084967,0.317990678,-0.071124765
hsa-miR-3613-5p,0.409302648,0.387955446,-0.069797598
hsa-miR-660-5p,0.233896475,0.630976323,-0.067595309
hsa-miR-101-3p,0.491758624,0.308248015,-0.067306504
hsa-miR-1307-5p,0.343453893,0.464131557,-0.066884785
hsa-miR-362-5p,0.380941355,0.419141878,-0.064908251
hsa-miR-423-3p,0.306753715,0.513210169,-0.062580148
hsa-miR-98-5p,0.437832697,0.358691809,-0.062001666
hsa-miR-455-5p,0.768778516,0.114198762,-0.061379502
hsa-miR-500a-5p,0.108624873,0.964070718,-0.060474218
hsa-miR-106b-5p,0.698841483,0.155621323,-0.058682801
hsa-miR-92a-3p,0.607984687,0.216107359,-0.053175416
hsa-miR-486-5p,0.644212955,0.190970546,-0.052658147
hsa-miR-185-5p,0.235971484,0.627140476,-0.052577127
hsa-miR-323a-3p,0.848780935,0.071204384,-0.050763974
hsa-miR-424-3p,0.742907049,0.129065521,-0.049783076
hsa-miR-656-3p,0.708770798,0.149494184,-0.049642575
hsa-let-7i-5p,0.075435629,1.122423484,-0.049591406
